,Year,State,Yes,No,Category,Condition,Location 1
0,2010,AL,83.8%,16.2%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Alabama
(32.84057112200048, -86.63186076199969)"
1,2010,AK,82.4%,17.600000000000001%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Alaska
(64.84507995700051, -147.72205903599973)"
2,2010,AZ,86.7%,13.3%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Arizona
(34.865970280000454, -111.76381127699972)"
3,2010,AR,78.7%,21.3%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Arkansas
(34.74865012400045, -92.27449074299966)"
4,2010,CA,82.2%,17.8%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"California
(37.63864012300047, -120.99999953799971)"
5,2010,CO,83.6%,16.399999999999999%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Colorado
(38.843840757000464, -106.13361092099967)"
6,2010,CT,90.2%,9.800000000000001%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Connecticut
(41.56266102000046, -72.64984095199964)"
7,2010,DE,90%,10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Delaware
(39.008830667000495, -75.57774116799965)"
8,2010,DC,93%,7%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"District of Columbia
(38.89037138500049, -77.03196112699965)"
9,2010,FL,83%,17%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Florida
(28.932040377000476, -81.92896053899966)"
10,2010,GA,83.7%,16.3%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Georgia
(32.83968109300048, -83.62758034599966)"
12,2010,HI,93.2%,6.8%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Hawaii
(21.304850435000446, -157.85774940299973)"
13,2010,ID,80.900000000000006%,19.100000000000001%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Idaho
(43.682630005000476, -114.3637300419997)"
14,2010,IL,86.9%,13.1%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Illinois
(40.48501028300046, -88.99771017799969)"
