,gradient descent,matrix,left,right
AGE,0.160811984905,0.0336792050831,-0.488212322097,0.555570732263
B,0.71805678568,0.854584280793,0.369066361253,1.34010220033
CHAS,0.505472059994,0.352383071404,-0.148960214008,0.853726356816
CRIM,-0.75556255564,-0.890876449183,-1.42833190582,-0.35342099255
DIS,-1.35087389306,-2.76666103251,-3.27917157094,-2.25415049407
INDUS,-0.49382152784,0.184030919073,-0.322748370894,0.690810209039
LSTAT,-2.98594339162,-3.24347923924,-3.75031496759,-2.7366435109
NOX,-0.974503660817,-2.22274131704,-2.74463188883,-1.70085074526
PTRATIO,-1.67896610967,-2.04834931087,-2.57338571382,-1.52331290792
RAD,0.523906710479,2.36051435767,1.85715104478,2.86387767057
RM,3.48665900325,3.11833289591,2.60316689209,3.63349889974
TAX,-0.509094215483,-1.96251395408,-2.46607334779,-1.45895456037
ZN,-0.0688684567684,0.7548891958,0.210883722284,1.29889466932
